,band,ccdVisitId,coord_ra,coord_dec,objectId,psfFlux,psfFluxErr,psfMag,ccdVisitId2,band2,expMidptMJD,zeroPoint
5412,z,1213281043,53.9046137,-37.3252014,1566258711813454641,340125.2380479,1105.3948052,17.570902853141796,1213281043,z,61366.1445642,31.4448
5413,z,666317125,53.9046137,-37.3252014,1566258711813454641,338509.9014398,1041.1447787,17.57607155911786,666317125,z,60569.3093922,31.4526
5414,z,408906010,53.9046137,-37.3252014,1566258711813454641,341479.0476038,1021.4339392,17.56658984627537,408906010,z,60160.3381622,31.4592
5415,z,648547091,53.9046137,-37.3252014,1566258711813454641,338765.3945825,1099.0364802,17.5752523998487,648547091,z,60542.3121812,31.453
5416,z,243021137,53.9046137,-37.3252014,1566258711813454641,341152.2076561,961.0110336,17.567629534946995,243021137,z,59915.0584102,31.4579
5417,z,1198513147,53.9046137,-37.3252014,1566258711813454641,342981.258806,971.6780468,17.561824025108127,1198513147,z,61336.1786772,31.461
5418,z,1198516079,53.9046137,-37.3252014,1566258711813454641,343811.4173639,980.3236616,17.559199263161048,1198516079,z,61336.1803012,31.4603
5419,z,1198498015,53.9046137,-37.3252014,1566258711813454641,340381.8900799,959.1266262,17.570083886212984,1198498015,z,61336.1719452,31.4623
5420,z,1174384096,53.9046137,-37.3252014,1566258711813454641,340855.8517965,998.3461096,17.56857311413804,1174384096,z,61306.2214852,31.4569
5421,z,1221668166,53.9046137,-37.3252014,1566258711813454641,341965.5955889,890.8432602,17.565043962911503,1221668166,z,61379.0496572,31.4627
5422,z,992107091,53.9046137,-37.3252014,1566258711813454641,341620.7956685,1029.1437328,17.566139250335333,992107091,z,61041.1184152,31.4541
5423,z,7998041,53.9046137,-37.3252014,1566258711813454641,339179.4379649,957.7045354,17.573926209501277,7998041,z,59591.0813532,31.4612
5424,y,1199301011,53.9046137,-37.3252014,1566258711813454641,355081.1739011,1828.3019073,17.52418088252115,1199301011,y,61337.1690332,30.6257
5425,y,1178903114,53.9046137,-37.3252014,1566258711813454641,361354.2761863,1750.9274265,17.505167003927653,1178903114,y,61311.2264322,30.6321
5426,y,191178133,53.9046137,-37.3252014,1566258711813454641,357841.7237215,1678.2897142,17.515772557090923,191178133,y,59836.2394172,30.6357
5427,y,1219532065,53.9046137,-37.3252014,1566258711813454641,357662.9722794,1562.2002499,17.516315046657976,1219532065,y,61375.0460412,30.635
5428,y,1178902143,53.9046137,-37.3252014,1566258711813454641,362340.6410241,1714.2954792,17.50220737922069,1178902143,y,61311.2259832,30.6348
5429,y,189383017,53.9046137,-37.3252014,1566258711813454641,358269.9581721,1849.9291372,17.51447401745159,189383017,y,59832.2756822,30.6296
5430,y,189318176,53.9046137,-37.3252014,1566258711813454641,360809.7538632,1835.0851817,17.506804326441454,189318176,y,59832.2464112,30.6348
5431,y,492028151,53.9046137,-37.3252014,1566258711813454641,358931.4735875,1801.3867122,17.512471145152745,492028151,y,60302.1058422,30.6261
5432,y,669789047,53.9046137,-37.3252014,1566258711813454641,357065.6733667,1732.7646206,17.518129747130676,669789047,y,60574.2252432,30.633
5433,y,937363164,53.9046137,-37.3252014,1566258711813454641,362854.4617106,1917.3730702,17.500668831005633,937363164,y,60954.2139232,30.622
5434,y,937362028,53.9046137,-37.3252014,1566258711813454641,357320.7577758,1866.291008,17.517354384167646,937362028,y,60954.2134742,30.6254
5435,y,651627063,53.9046137,-37.3252014,1566258711813454641,360476.1134484,1802.9832815,17.50780877008848,651627063,y,60546.2882062,30.629
5436,z,711815172,53.9046137,-37.3252014,1566258711813454641,343014.1482871,1180.5821785,17.561719915663534,711815172,z,60630.2159562,31.4459
